objectid,filename,title,publisher,creator,date,description,format,genre,medium,subject,location,latitude,longitude,language,is_part_of,collection,source,object_location,reference_url,rights,rightsstatement,parentid
w_loring,,William Wing Loring,,,,"William Wing Loring (1818-1886) was a career military officer who fought in the Florida Seminole Wars, the Mexican American War, the Civil War, and the Egyptian Ethiopian War. He lost his left arm in a battle during the Mexican American War, and subsequently posed with his left sleeve pinned to his chest. He was a commanding Confederate General. During his service to the Khedive, an occupation that lasted ten years from 1869 to 1879, Loring was charged with maintaining Egypt's coastal defenses at Alexandria and Rosetta as Inspector General. Loring was granted the title of Fereek Pasha for his role commanding troops in the Egyptian-Ethiopian War (1874-1876). ",compound_object,,,William Wing Loring,,,,,,,,,,,,
w_loring_001,loring_prosthetic.jpg,General Loring,,unknown,,Carte-de-visite of William Wing Loring wearing civilian clothes taken in a studio. He wears a prosthetic left arm.,image/jpg,carte-de-visite,photograph,William Wing Loring,,,,,,,,,https://acwm.pastperfectonline.com/Photo/BCFFD520-A474-4D65-BC49-944899176421,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_002,loring_egypt.png,"Loring Pacha, Fereek and General",Dodd & Mead Company,unknown,1884,Plate print of William Wing Loring wearing Egyptian Army Full Dress uniform. ,image/png,portrait,print,William Wing Loring,"Cairo, Egypt",30.033333,31.233334,,,,,,https://books.google.com/books?id=NSkqDwAAQBAJ&pg=PA1&source=gbs_toc_r&cad=2#v=onepage&q&f=false,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_003,A_Confederate_Soldier_in_Egypt.pdf,A Confederate Soldier in Egypt,Dodd & Mead Company,William Wing Loring,1884,"Book written by William Wing Loring that details his ten years in the Egyptian military (1869-1879), including descriptions of military expeditions and instances of travel throughout Egypt.",application/pdf,memoir,book,William Wing Loring; Charles Pomeroy Stone; Alexander Welch Reynolds; Frank A. Reynolds; Erastus Sparrow Purdy; Charles Chaille-Long; Raleigh Edward Colston; William McEntyre Dye; Charles William Field; Alexander Macomb Mason; Thomas Grimke Rhett; Samuel Henry Lockett; Henry Clay Derrick; Charles Iverson Graves; David Essex Porter; Vanderbilt Allen; Beverly Kennon; James Alfred Dennison; Henry Goslee Prout; Charles Frederick Loshe; Edward Warren; William H. Ward; Thomas Dickinson Johnson; Henry Irgins; William H. Wilson,"New York, NY, USA",40.73061,-73.935242,English,,,,,https://books.google.com/books?id=NSkqDwAAQBAJ&pg=PA1&source=gbs_toc_r&cad=2#v=onepage&q&f=false,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_004,loring_account_book.pdf,untitled,unpublished,William Wing Loring,1870,"Unpublished account book handwritted by William Wing Loring, with entries dated from June through October 1870. Includes descriptions of places Loring traveled to as well as his comments on the organization of the Egyptian military.",application/pdf,account book,book,William Wing Loring; James Morris Morgan; Charles Pomeroy Stone; Henry Hopkins Sibley; Alexander Welch Reynolds; Walter Hanson Jenifer; William H. Ward; William W. Dunlap; Cornelius E. Hunt,,,,English,,,,,https://findingaids.uflib.ufl.edu/repositories/2/resources/239,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_005,loring_grant.jpg,untitled,,unknown,1878,William Wing Loring poses with Ulysses S. Grant at the Pyramids of Giza. Charles Pomeroy Stone can be seen in the back riding a horse.,image/jpg,,photograph,William Wing Loring; Ulysses S. Grant; Charles Pomeroy Stone,"Giza, Egypt",29.9792,31.1342,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_006,loring_egypt2.jpg,General W.W. Loring,Houghton Mifflin Co.,unknown,1870,"Photograph of William Wing Loring wearing Egyptian Army Full Dress uniform, taken in a studio in Cairo, Egypt in 1870.",image/jpg,portrait,photograph,William Wing Loring,"Cairo, Egypt",30.033333,31.233334,,,,,,https://garystockbridge617.getarchive.net/amp/media/general-w-w-loring-in-cairo-42b575,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_007,loring_confederate.jpg,untitled,,unknown,,Framed photograph of William Wing Loring wearing Conferderate States Army uniform taken in an American studio during the Civil War.,image/jpg,ambrotype,photograph,William Wing Loring,,,,,,,,,https://acwm.pastperfectonline.com/byperson?keyword=Loring%2C%20William%20Wing,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_008,loring_egypt3.jpeg,untitled,P. Calamita au Caire,unknown,,"Photograph of William Wing Loring wearing Egyptian Army Full Dress uniform, taken in a studio in Cairo, Egypt.",image/jpg,portrait,photograph,William Wing Loring,"Cairo, Egypt",30.033333,31.233334,,,,,,https://finding-aids.lib.unc.edu/00432/#imagefolder_11#1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_009,loring_egypt4.jpeg,Loring Pasha,Hutchinson and Co.,unknown,,"Photograph of William Wing Loring wearing Egyptian Army Full Dress uniform, taken in a studio in Cairo, Egypt.",image/jpg,portrait,photograph,Willian Wing Loring,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
w_loring_010,loring_confederate2.jpg,Maj. Gen. Loring,E. & H. T. Anthony,unknown,,Photograph of William Wing Loring wearing Confederate States Army uniform.,image/jpg,carte-de-visite,photograph,William Wing Loring,"New York, NY, USA",40.73061,-73.935242,,,,,,https://acwm.pastperfectonline.com/photo/04BE74C8-7F5C-485F-90EA-759258041685,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/NoC-US/1.0/,w_loring
